T&A Link,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
vector-concatenation-hidden-states,0.854 ± 0.017,0.865 ± 0.017,0.848 ± 0.018,0.887 ± 0.017,0.937 ± 0.014,0.911 ± 0.01,0.977 ± 0.005
vector-weighted-average-3070-hidden-states,0.846 ± 0.018,0.85 ± 0.019,0.846 ± 0.017,0.859 ± 0.021,0.924 ± 0.016,0.906 ± 0.011,0.973 ± 0.005
vector-weighted-average-4060-hidden-states,0.844 ± 0.02,0.847 ± 0.022,0.843 ± 0.019,0.857 ± 0.026,0.922 ± 0.017,0.904 ± 0.013,0.971 ± 0.006
vector-weighted-average-2080-hidden-states,0.842 ± 0.02,0.844 ± 0.021,0.842 ± 0.02,0.85 ± 0.024,0.921 ± 0.017,0.903 ± 0.012,0.972 ± 0.005
vector-average-hidden-states,0.838 ± 0.022,0.841 ± 0.023,0.837 ± 0.021,0.85 ± 0.025,0.917 ± 0.018,0.901 ± 0.013,0.969 ± 0.007
vector-sum-hidden-states,0.838 ± 0.022,0.841 ± 0.023,0.837 ± 0.021,0.85 ± 0.025,0.917 ± 0.018,0.901 ± 0.013,0.969 ± 0.007
text-concatenation-hidden-states,0.838 ± 0.024,0.84 ± 0.025,0.838 ± 0.024,0.848 ± 0.026,0.916 ± 0.023,0.901 ± 0.015,0.97 ± 0.008
abstract-text-hidden-states,0.828 ± 0.025,0.832 ± 0.025,0.827 ± 0.025,0.843 ± 0.026,0.906 ± 0.024,0.895 ± 0.015,0.968 ± 0.007
vector-concatenation-classification-token,0.826 ± 0.028,0.83 ± 0.03,0.825 ± 0.027,0.839 ± 0.033,0.904 ± 0.024,0.894 ± 0.017,0.965 ± 0.009
vector-weighted-average-1090-hidden-states,0.826 ± 0.022,0.823 ± 0.023,0.829 ± 0.021,0.822 ± 0.026,0.902 ± 0.02,0.893 ± 0.014,0.965 ± 0.006
vector-average-classification-token,0.818 ± 0.03,0.814 ± 0.033,0.821 ± 0.028,0.813 ± 0.038,0.89 ± 0.031,0.888 ± 0.019,0.96 ± 0.012
vector-sum-classification-token,0.818 ± 0.03,0.814 ± 0.033,0.821 ± 0.028,0.813 ± 0.038,0.89 ± 0.031,0.888 ± 0.019,0.96 ± 0.012
vector-weighted-average-4060-classification-token,0.815 ± 0.03,0.81 ± 0.035,0.82 ± 0.027,0.807 ± 0.043,0.887 ± 0.034,0.886 ± 0.019,0.959 ± 0.013
vector-weighted-average-3070-classification-token,0.81 ± 0.034,0.803 ± 0.04,0.816 ± 0.029,0.796 ± 0.05,0.878 ± 0.043,0.882 ± 0.022,0.956 ± 0.017
vector-weighted-average-2080-classification-token,0.801 ± 0.036,0.789 ± 0.045,0.81 ± 0.029,0.777 ± 0.058,0.867 ± 0.046,0.876 ± 0.024,0.95 ± 0.02
text-concatenation-classification-token,0.791 ± 0.041,0.784 ± 0.05,0.798 ± 0.035,0.776 ± 0.062,0.863 ± 0.051,0.871 ± 0.027,0.945 ± 0.024
vector-weighted-average-1090-classification-token,0.78 ± 0.034,0.764 ± 0.044,0.793 ± 0.027,0.744 ± 0.058,0.841 ± 0.05,0.863 ± 0.023,0.94 ± 0.021
abstract-text-classification-token,0.776 ± 0.048,0.771 ± 0.06,0.782 ± 0.04,0.77 ± 0.076,0.845 ± 0.063,0.861 ± 0.032,0.938 ± 0.028
title-text-hidden-states,0.776 ± 0.022,0.78 ± 0.023,0.774 ± 0.021,0.792 ± 0.025,0.869 ± 0.023,0.863 ± 0.014,0.947 ± 0.01
title-text-classification-token,0.756 ± 0.024,0.747 ± 0.031,0.764 ± 0.019,0.74 ± 0.042,0.832 ± 0.032,0.849 ± 0.016,0.932 ± 0.014
