Classifier Model,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
k-Nearest Neighbors,0.895,0.82,0.953,0.719,0.88,0.9329999999999999,0.968
Deep Neural Network,0.893,0.892,0.894,0.882,0.949,0.934,0.982
Logistic Regression,0.891,0.891,0.889,0.884,0.951,0.933,0.983
Neural Network,0.889,0.894,0.886,0.899,0.953,0.932,0.983
SVM (RBF Kernel),0.88,0.896,0.87,0.919,0.957,0.927,0.984
Gaussian Naive Bayes,0.836,0.781,0.879,0.701,0.722,0.896,0.9349999999999999
Gaussian Process Classifier,0.827,0.841,0.817,0.85,0.189,0.894,0.502
SVM (Polynomial Kernel),0.8069999999999999,0.855,0.777,0.948,0.948,0.884,0.978
Random Forest Classifier,0.696,0.78,0.649,0.983,0.943,0.823,0.975
Decision Tree Classifier,0.642,0.6479999999999999,0.637,0.657,0.48900000000000005,0.781,0.781
