Logistic Regression Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"{'C': 1.0, 'solver': 'sag'}",0.906 ± 0.009,0.884 ± 0.005,0.922 ± 0.013,0.078 ± 0.013,0.853 ± 0.015,0.147 ± 0.015,0.958 ± 0.005,0.942 ± 0.005,0.986 ± 0.002,0.941 ± 0.006,0.858 ± 0.006,0.147 ± 0.013,0.035 ± 0.003,0.962 ± 0.004,0.038 ± 0.004,0.982 ± 0.003,0.018 ± 0.003,0.954 ± 0.002,0.955 ± 0.002,0.957 ± 0.002,0.954 ± 0.002,0.928 ± 0.003,0.917 ± 0.006,0.942 ± 0.005
"{'C': 1.0, 'solver': 'liblinear'}",0.905 ± 0.006,0.865 ± 0.013,0.935 ± 0.011,0.065 ± 0.011,0.808 ± 0.029,0.192 ± 0.029,0.957 ± 0.006,0.941 ± 0.004,0.985 ± 0.002,0.94 ± 0.004,0.835 ± 0.016,0.175 ± 0.024,0.042 ± 0.005,0.947 ± 0.01,0.053 ± 0.01,0.985 ± 0.002,0.015 ± 0.002,0.944 ± 0.007,0.946 ± 0.006,0.951 ± 0.004,0.944 ± 0.007,0.915 ± 0.009,0.896 ± 0.014,0.941 ± 0.004
"{'C': 10.0, 'solver': 'sag'}",0.904 ± 0.006,0.868 ± 0.014,0.931 ± 0.011,0.069 ± 0.011,0.816 ± 0.031,0.184 ± 0.031,0.954 ± 0.005,0.94 ± 0.004,0.985 ± 0.002,0.94 ± 0.004,0.839 ± 0.017,0.188 ± 0.028,0.042 ± 0.005,0.949 ± 0.01,0.051 ± 0.01,0.984 ± 0.002,0.016 ± 0.002,0.946 ± 0.007,0.947 ± 0.006,0.952 ± 0.005,0.946 ± 0.007,0.917 ± 0.009,0.9 ± 0.015,0.94 ± 0.004
"{'C': 100.0, 'solver': 'sag'}",0.904 ± 0.005,0.865 ± 0.015,0.933 ± 0.011,0.067 ± 0.011,0.81 ± 0.033,0.19 ± 0.033,0.954 ± 0.005,0.94 ± 0.003,0.985 ± 0.002,0.94 ± 0.003,0.835 ± 0.018,0.197 ± 0.032,0.043 ± 0.006,0.947 ± 0.011,0.053 ± 0.011,0.984 ± 0.002,0.016 ± 0.002,0.944 ± 0.007,0.946 ± 0.007,0.951 ± 0.005,0.944 ± 0.007,0.915 ± 0.01,0.897 ± 0.016,0.94 ± 0.003
"{'C': 10.0, 'solver': 'liblinear'}",0.903 ± 0.008,0.869 ± 0.015,0.929 ± 0.013,0.071 ± 0.013,0.821 ± 0.032,0.179 ± 0.032,0.956 ± 0.006,0.94 ± 0.005,0.985 ± 0.002,0.939 ± 0.005,0.841 ± 0.018,0.204 ± 0.028,0.042 ± 0.005,0.951 ± 0.01,0.049 ± 0.01,0.983 ± 0.003,0.017 ± 0.003,0.947 ± 0.007,0.948 ± 0.006,0.953 ± 0.005,0.947 ± 0.007,0.918 ± 0.01,0.902 ± 0.015,0.94 ± 0.005
"{'C': 10.0, 'solver': 'lbfgs'}",0.902 ± 0.007,0.888 ± 0.005,0.913 ± 0.013,0.087 ± 0.013,0.869 ± 0.02,0.131 ± 0.02,0.957 ± 0.005,0.94 ± 0.004,0.985 ± 0.002,0.939 ± 0.004,0.864 ± 0.006,0.185 ± 0.011,0.035 ± 0.003,0.966 ± 0.005,0.034 ± 0.005,0.98 ± 0.003,0.02 ± 0.003,0.956 ± 0.002,0.957 ± 0.002,0.959 ± 0.002,0.956 ± 0.002,0.931 ± 0.003,0.925 ± 0.009,0.94 ± 0.004
"{'C': 100.0, 'solver': 'liblinear'}",0.901 ± 0.006,0.87 ± 0.013,0.924 ± 0.013,0.076 ± 0.013,0.826 ± 0.032,0.174 ± 0.032,0.954 ± 0.006,0.938 ± 0.004,0.984 ± 0.002,0.938 ± 0.004,0.841 ± 0.016,0.247 ± 0.034,0.043 ± 0.005,0.953 ± 0.01,0.047 ± 0.01,0.982 ± 0.003,0.018 ± 0.003,0.947 ± 0.006,0.949 ± 0.006,0.953 ± 0.005,0.947 ± 0.006,0.918 ± 0.009,0.904 ± 0.015,0.938 ± 0.004
"{'C': 1.0, 'solver': 'newton-cg'}",0.895 ± 0.006,0.896 ± 0.006,0.895 ± 0.007,0.105 ± 0.007,0.901 ± 0.011,0.099 ± 0.011,0.956 ± 0.003,0.936 ± 0.003,0.985 ± 0.001,0.934 ± 0.004,0.873 ± 0.006,0.145 ± 0.005,0.031 ± 0.001,0.976 ± 0.003,0.024 ± 0.003,0.976 ± 0.001,0.024 ± 0.001,0.961 ± 0.002,0.961 ± 0.002,0.962 ± 0.002,0.961 ± 0.002,0.936 ± 0.003,0.938 ± 0.005,0.936 ± 0.003
"{'C': 1.0, 'solver': 'lbfgs'}",0.895 ± 0.003,0.895 ± 0.003,0.895 ± 0.004,0.105 ± 0.004,0.898 ± 0.01,0.102 ± 0.01,0.956 ± 0.004,0.935 ± 0.002,0.985 ± 0.001,0.934 ± 0.002,0.872 ± 0.004,0.144 ± 0.005,0.031 ± 0.001,0.976 ± 0.002,0.024 ± 0.002,0.976 ± 0.001,0.024 ± 0.001,0.96 ± 0.002,0.96 ± 0.001,0.961 ± 0.001,0.96 ± 0.002,0.935 ± 0.002,0.937 ± 0.005,0.935 ± 0.002
"{'C': 1.0, 'solver': 'newton-cholesky'}",0.894 ± 0.005,0.897 ± 0.006,0.893 ± 0.006,0.107 ± 0.006,0.904 ± 0.013,0.096 ± 0.013,0.956 ± 0.004,0.935 ± 0.003,0.985 ± 0.001,0.934 ± 0.003,0.874 ± 0.007,0.148 ± 0.004,0.032 ± 0.001,0.977 ± 0.003,0.023 ± 0.003,0.975 ± 0.001,0.025 ± 0.001,0.961 ± 0.002,0.961 ± 0.002,0.962 ± 0.002,0.961 ± 0.002,0.936 ± 0.004,0.94 ± 0.006,0.935 ± 0.003
"{'C': 100.0, 'solver': 'newton-cg'}",0.894 ± 0.008,0.87 ± 0.011,0.911 ± 0.017,0.089 ± 0.017,0.839 ± 0.031,0.161 ± 0.031,0.952 ± 0.005,0.934 ± 0.005,0.984 ± 0.002,0.933 ± 0.005,0.842 ± 0.014,0.214 ± 0.03,0.041 ± 0.005,0.957 ± 0.01,0.043 ± 0.01,0.979 ± 0.004,0.021 ± 0.004,0.949 ± 0.005,0.95 ± 0.005,0.953 ± 0.004,0.949 ± 0.005,0.919 ± 0.007,0.909 ± 0.014,0.934 ± 0.005
"{'C': 10.0, 'solver': 'newton-cg'}",0.893 ± 0.007,0.889 ± 0.003,0.897 ± 0.011,0.103 ± 0.011,0.885 ± 0.012,0.115 ± 0.012,0.951 ± 0.003,0.934 ± 0.004,0.984 ± 0.001,0.933 ± 0.005,0.865 ± 0.004,0.167 ± 0.007,0.034 ± 0.001,0.972 ± 0.003,0.028 ± 0.003,0.976 ± 0.002,0.024 ± 0.002,0.958 ± 0.001,0.958 ± 0.001,0.959 ± 0.002,0.958 ± 0.001,0.931 ± 0.002,0.931 ± 0.005,0.934 ± 0.004
"{'C': 10.0, 'solver': 'newton-cholesky'}",0.892 ± 0.006,0.897 ± 0.004,0.89 ± 0.009,0.11 ± 0.009,0.908 ± 0.014,0.092 ± 0.014,0.951 ± 0.003,0.934 ± 0.003,0.984 ± 0.001,0.932 ± 0.004,0.874 ± 0.005,0.179 ± 0.006,0.033 ± 0.001,0.978 ± 0.003,0.022 ± 0.003,0.975 ± 0.002,0.025 ± 0.002,0.961 ± 0.002,0.961 ± 0.001,0.962 ± 0.002,0.961 ± 0.002,0.936 ± 0.002,0.941 ± 0.006,0.934 ± 0.003
"{'C': 100.0, 'solver': 'lbfgs'}",0.891 ± 0.006,0.835 ± 0.016,0.934 ± 0.006,0.066 ± 0.006,0.759 ± 0.03,0.241 ± 0.03,0.951 ± 0.005,0.931 ± 0.004,0.983 ± 0.002,0.931 ± 0.004,0.8 ± 0.019,0.401 ± 0.036,0.06 ± 0.006,0.928 ± 0.011,0.072 ± 0.011,0.984 ± 0.001,0.016 ± 0.001,0.929 ± 0.008,0.932 ± 0.007,0.942 ± 0.005,0.929 ± 0.008,0.895 ± 0.011,0.871 ± 0.015,0.931 ± 0.004
"{'C': 100.0, 'solver': 'newton-cholesky'}",0.891 ± 0.006,0.835 ± 0.016,0.934 ± 0.006,0.066 ± 0.006,0.759 ± 0.03,0.241 ± 0.03,0.951 ± 0.005,0.931 ± 0.004,0.983 ± 0.002,0.931 ± 0.004,0.8 ± 0.019,0.401 ± 0.036,0.06 ± 0.006,0.928 ± 0.011,0.072 ± 0.011,0.984 ± 0.001,0.016 ± 0.001,0.929 ± 0.008,0.932 ± 0.007,0.942 ± 0.005,0.929 ± 0.008,0.895 ± 0.011,0.871 ± 0.015,0.931 ± 0.004
