Support Vector Parameters,F2-PPS,F1-PPS,TPR,PPV,AUC-PR,BA,AUC-ROC
"{'C': 1.0, 'gamma': 'auto'}",0.908,0.912,0.904,0.92,0.964,0.943,0.99
"{'C': 1.0, 'gamma': 'scale'}",0.908,0.912,0.904,0.92,0.964,0.943,0.99
"{'C': 1.0, 'gamma': 0.001}",0.907,0.907,0.906,0.907,0.962,0.942,0.989
"{'C': 10.0, 'gamma': 0.0001}",0.905,0.887,0.918,0.86,0.958,0.941,0.989
"{'C': 10.0, 'gamma': 0.001}",0.903,0.92,0.893,0.95,0.97,0.941,0.991
"{'C': 100.0, 'gamma': 1e-05}",0.903,0.882,0.918,0.849,0.953,0.94,0.987
"{'C': 10.0, 'gamma': 'auto'}",0.901,0.921,0.888,0.957,0.97,0.94,0.992
"{'C': 10.0, 'gamma': 'scale'}",0.901,0.921,0.888,0.957,0.97,0.94,0.992
"{'C': 100.0, 'gamma': 'auto'}",0.901,0.921,0.888,0.957,0.97,0.94,0.992
"{'C': 100.0, 'gamma': 'scale'}",0.901,0.921,0.888,0.957,0.97,0.94,0.992
"{'C': 100.0, 'gamma': 0.001}",0.901,0.919,0.89,0.949,0.97,0.94,0.992
"{'C': 1.0, 'gamma': 0.0001}",0.9,0.873,0.919,0.83,0.931,0.9369999999999999,0.982
"{'C': 10.0, 'gamma': 1e-05}",0.899,0.872,0.919,0.829,0.926,0.938,0.982
"{'C': 100.0, 'gamma': 0.0001}",0.893,0.901,0.887,0.916,0.96,0.9349999999999999,0.989
"{'C': 1.0, 'gamma': 1e-05}",0.82,0.6839999999999999,0.9269999999999999,0.542,0.903,0.874,0.968
